"acceptedScientificName","LON","LAT"
"Cinnagrostis vicunarum (Wedd.)",-65.93584,-23.562608
"Cinnagrostis vicunarum (Wedd.)",-75.015191,-12.825333
"Cinnagrostis vicunarum (Wedd.)",-70.35235,-14.478564
"Cinnagrostis vicunarum (Wedd.)",-72.475573,-14.569886
"Cinnagrostis vicunarum (Wedd.)",-71.837503,-15.169942
"Cinnagrostis vicunarum (Wedd.)",-75.080825,-13.1658
"Cinnagrostis vicunarum (Wedd.)",-75.0794,-13.165169
"Cinnagrostis vicunarum (Wedd.)",-75.133572,-13.499342
"Cinnagrostis vicunarum (Wedd.)",-74.981111,-11.386667
"Cinnagrostis vicunarum (Wedd.)",-68.915833,-17.543333
"Cinnagrostis vicunarum (Wedd.)",-72.838055,-13.261111
"Cinnagrostis vicunarum (Wedd.)",-72.020472,-13.24
"Cinnagrostis vicunarum (Wedd.)",-72.0185,-13.268972
"Cinnagrostis vicunarum (Wedd.)",-70.73778,-16.21
"Cinnagrostis vicunarum (Wedd.)",-70.7475,-16.114722
"Cinnagrostis vicunarum (Wedd.)",-70.531667,-16.170278
"Cinnagrostis vicunarum (Wedd.)",-77.4743,-9.8683
"Cinnagrostis vicunarum (Wedd.)",-77.3083,-10.1453
"Cinnagrostis vicunarum (Wedd.)",-77.7442,-9.28881
"Cinnagrostis vicunarum (Wedd.)",-77.4794,-9.86956
"Cinnagrostis vicunarum (Wedd.)",-77.5339,-9.91964
"Cinnagrostis vicunarum (Wedd.)",-78.1944,-7.08767
"Cinnagrostis vicunarum (Wedd.)",-78.194444,-7.087778
"Cinnagrostis vicunarum (Wedd.)",-77.479444,-9.869444
"Cinnagrostis vicunarum (Wedd.)",-77.48,-9.87
"Cinnagrostis vicunarum (Wedd.)",-77.31,-10.15
"Cinnagrostis vicunarum (Wedd.)",-76.3024,-10.9311
"Cinnagrostis vicunarum (Wedd.)",-69.776833,-30.297917
"Cinnagrostis vicunarum (Wedd.)",-69.7728,-30.292
"Cinnagrostis vicunarum (Wedd.)",-66.1845,-24.503
"Cinnagrostis vicunarum (Wedd.)",-66.1852,-24.505
"Cinnagrostis vicunarum (Wedd.)",-65.2265,-22.2185
"Cinnagrostis vicunarum (Wedd.)",-69.77667,-30.29778
"Cinnagrostis vicunarum (Wedd.)",-66.0675,-18.933889
"Cinnagrostis vicunarum (Wedd.)",-66.14527,-17.32638
"Cinnagrostis vicunarum (Wedd.)",-73.528333,-14.730278
"Cinnagrostis vicunarum (Wedd.)",-71.576111,-15.745556
"Cinnagrostis vicunarum (Wedd.)",-72.625,-13.123056
"Cinnagrostis vicunarum (Wedd.)",-69.07805,-15.43833
"Cinnagrostis vicunarum (Wedd.)",-65.225833,-22.218889
"Cinnagrostis vicunarum (Wedd.)",-65.22583,-22.21888
"Cinnagrostis vicunarum (Wedd.)",-65.03333,-23.16666
"Cinnagrostis vicunarum (Wedd.)",-65.2,-23.18333
"Cinnagrostis vicunarum (Wedd.)",-67.28333,-17.05
"Cinnagrostis vicunarum (Wedd.)",-68.05,-16.316
"Cinnagrostis vicunarum (Wedd.)",-68.408611,-17.842778
"Cinnagrostis vicunarum (Wedd.)",-67.3,-17.05
"Cinnagrostis vicunarum (Wedd.)",-72.266667,-13.216667
"Cinnagrostis vicunarum (Wedd.)",-72.066667,-13.266667
"Cinnagrostis vicunarum (Wedd.)",-71.61666,-13.68333
"Cinnagrostis vicunarum (Wedd.)",-68.133333,-16.416667
"Cinnagrostis vicunarum (Wedd.)",-71.518333,-14.863056
"Cinnagrostis vicunarum (Wedd.)",-66.58,-17.67
"Cinnagrostis vicunarum (Wedd.)",-66.58333,-17.66666
"Cinnagrostis vicunarum (Wedd.)",-67.32,-16.95
"Cinnagrostis vicunarum (Wedd.)",-67.25,-17
"Cinnagrostis vicunarum (Wedd.)",-77.36666,-9.53333
"Cinnagrostis vicunarum (Wedd.)",-77.45,-9.45
"Cinnagrostis vicunarum (Wedd.)",-77.26666,-9.45
"Cinnagrostis vicunarum (Wedd.)",-77.6,-8.91666
"Cinnagrostis vicunarum (Wedd.)",-77.41667,-9.38333
"Cinnagrostis vicunarum (Wedd.)",-77.41666,-9.38333
"Cinnagrostis vicunarum (Wedd.)",-77.75,-8.85
"Cinnagrostis vicunarum (Wedd.)",-77.283333,-10.133333
"Cinnagrostis vicunarum (Wedd.)",-77.18333,-9.86666
"Cinnagrostis vicunarum (Wedd.)",-77.28333,-10.13333
"Cinnagrostis vicunarum (Wedd.)",-68.15,-16.43
"Cinnagrostis vicunarum (Wedd.)",-68.12,-16.3
"Cinnagrostis vicunarum (Wedd.)",-68.116667,-16.3
"Cinnagrostis vicunarum (Wedd.)",-68.166667,-16.4
"Cinnagrostis vicunarum (Wedd.)",-77.6,-9.01667
"Cinnagrostis vicunarum (Wedd.)",-68.15,-16.43333
"Cinnagrostis vicunarum (Wedd.)",-68.16666,-16.4
"Cinnagrostis vicunarum (Wedd.)",-68.11666,-16.3
