"acceptedScientificName","LON","LAT"
"""Festuca dolichophylla J.Presl""",-71.962312,-13.48322
"""Festuca dolichophylla J.Presl""",-68.145555,-16.463333
"""Festuca dolichophylla J.Presl""",-67.96944,-16.3
"""Festuca dolichophylla J.Presl""",-72.596694,7.212028
"""Festuca dolichophylla J.Presl""",-72.708028,7.098722
"""Festuca dolichophylla J.Presl""",-72.709083,7.098361
"""Festuca dolichophylla J.Presl""",-68.888055,-17.526389
"""Festuca dolichophylla J.Presl""",-70.660556,-16.1975
"""Festuca dolichophylla J.Presl""",-70.662778,-16.168611
"""Festuca dolichophylla J.Presl""",-70.699722,-16.217222
"""Festuca dolichophylla J.Presl""",-70.70722,-16.17222
"""Festuca dolichophylla J.Presl""",-70.66056,-16.1975
"""Festuca dolichophylla J.Presl""",-70.66278,-16.16861
"""Festuca dolichophylla J.Presl""",-70.72833,-16.20389
"""Festuca dolichophylla J.Presl""",-70.540278,-16.137778
"""Festuca dolichophylla J.Presl""",-70.583333,-16.166389
"""Festuca dolichophylla J.Presl""",-70.58333,-16.16639
"""Festuca dolichophylla J.Presl""",-70.53667,-16.14361
"""Festuca dolichophylla J.Presl""",-66.720278,-18.933889
"""Festuca dolichophylla J.Presl""",-65.65555,-17.00138
"""Festuca dolichophylla J.Presl""",-78.25,0.116
"""Festuca dolichophylla J.Presl""",-78.25,0.11666
"""Festuca dolichophylla J.Presl""",-83.883383,9.591186
"""Festuca dolichophylla J.Presl""",-64.75,-17.81666
"""Festuca dolichophylla J.Presl""",-78.35,-1.116
"""Festuca dolichophylla J.Presl""",-78.03333,-1
"""Festuca dolichophylla J.Presl""",-73.07492,5.91667
"""Festuca dolichophylla J.Presl""",-67.41666,-26.08333
"""Festuca dolichophylla J.Presl""",-68,-16.53333
"""Festuca dolichophylla J.Presl""",-83.506111,9.462778
"""Festuca dolichophylla J.Presl""",-66.95,-17.58333
"""Festuca dolichophylla J.Presl""",-67.216667,-16.966667
"""Festuca dolichophylla J.Presl""",-74.047036,4.612401
"""Festuca dolichophylla J.Presl""",-74.204407,4.283505
"""Festuca dolichophylla J.Presl""",-74.2078,4.27621
"""Festuca dolichophylla J.Presl""",-74.205222,4.292192
"""Festuca dolichophylla J.Presl""",-74.175181,4.283804
"""Festuca dolichophylla J.Presl""",-74.121881,4.159002
"""Festuca dolichophylla J.Presl""",-73.977778,5.252278
"""Festuca dolichophylla J.Presl""",-65.33333,-19.33333
"""Festuca dolichophylla J.Presl""",-66.803611,-17.236667
"""Festuca dolichophylla J.Presl""",-68.12,-16.45
"""Festuca dolichophylla J.Presl""",-68.11666,-16.45
"""Festuca dolichophylla J.Presl""",-68.13,-16.42
"""Festuca dolichophylla J.Presl""",-68.133333,-16.416667
"""Festuca dolichophylla J.Presl""",-70.983,-14.5
"""Festuca dolichophylla J.Presl""",-65.5,-17.5
"""Festuca dolichophylla J.Presl""",-74.12113,4.314381
"""Festuca dolichophylla J.Presl""",-68.67,-15.33
"""Festuca dolichophylla J.Presl""",-68.66666,-15.33333
"""Festuca dolichophylla J.Presl""",-73.763065,4.590119
"""Festuca dolichophylla J.Presl""",-74.007854,5.228401
"""Festuca dolichophylla J.Presl""",-78.4333,-0.66667
"""Festuca dolichophylla J.Presl""",-68.15,-16.43333
"""Festuca dolichophylla J.Presl""",-67.9,-16.3
"""Festuca dolichophylla J.Presl""",-67.9,-16.48333
"""Festuca dolichophylla J.Presl""",-77.63333,-8.98333
"""Festuca dolichophylla J.Presl""",-78.416,-1.8
"""Festuca dolichophylla J.Presl""",-78.41666,-1.8
"""Festuca dolichophylla J.Presl""",-75.92,-11.42
"""Festuca dolichophylla J.Presl""",-78.53333,-0.15
"""Festuca dolichophylla J.Presl""",-75.91666,-11.41666
"""Festuca dolichophylla J.Presl""",-75.933333,-11.933333
"""Festuca dolichophylla J.Presl""",-78.2,-0.46666
"""Festuca dolichophylla J.Presl""",-75.93333,-11.93333
"""Festuca dolichophylla J.Presl""",-75.88333,-11.45
"""Festuca dolichophylla J.Presl""",-67,-27
"""Festuca dolichophylla J.Presl""",-68.08333,-16.53333
"""Festuca dolichophylla J.Presl""",-68.083333,-16.533333
"""Festuca dolichophylla J.Presl""",-68.05,-16.53333
"""Festuca dolichophylla J.Presl""",-78.3,-1.15
"""Festuca dolichophylla J.Presl""",-76.96666,-11.28333
"""Festuca dolichophylla J.Presl""",-74.2483,4.0764
"""Festuca dolichophylla J.Presl""",-74.1068,3.99447
"""Festuca dolichophylla J.Presl""",-74.1802,3.97765
"""Festuca dolichophylla J.Presl""",-74.2484,4.0766
"""Festuca dolichophylla J.Presl""",-74.1068,3.9447
"""Festuca dolichophylla J.Presl""",-74.17557,3.78621
"""Festuca dolichophylla J.Presl""",-74.1675,3.9699
"""Festuca dolichophylla J.Presl""",-74.156,3.9599
"""Festuca dolichophylla J.Presl""",-74.2085,4.2865
"""Festuca dolichophylla J.Presl""",-67.92,-16.92
"""Festuca dolichophylla J.Presl""",-78.2,-0.31666
"""Festuca dolichophylla J.Presl""",-76.2,-11.33333
"""Festuca dolichophylla J.Presl""",-68.133333,-16.5
"""Festuca dolichophylla J.Presl""",-77.96666,-0.11666
"""Festuca dolichophylla J.Presl""",-78.3,-1.233
"""Festuca dolichophylla J.Presl""",-78.3,-1.23333
"""Festuca dolichophylla J.Presl""",-78.35,-0.78333
"""Festuca dolichophylla J.Presl""",-74.2829,4.0796
"""Festuca dolichophylla J.Presl""",-73.760653,4.590114
"""Festuca dolichophylla J.Presl""",-72.32735,6.54374
"""Festuca dolichophylla J.Presl""",-76.58,-11.69
"""Festuca dolichophylla J.Presl""",-78.544,-0.162
"""Festuca dolichophylla J.Presl""",-68.4167,-16.95
"""Festuca dolichophylla J.Presl""",-67.9167,-17.2333
"""Festuca dolichophylla J.Presl""",-65.2833,-21.2667
"""Festuca dolichophylla J.Presl""",-68.4833,-15.6
"""Festuca dolichophylla J.Presl""",-68.7,-17.1167
"""Festuca dolichophylla J.Presl""",-68.7167,-17.116667
"""Festuca dolichophylla J.Presl""",-83.51,9.45
"""Festuca dolichophylla J.Presl""",-83.51667,9.45
"""Festuca dolichophylla J.Presl""",-83.49,9.46
"""Festuca dolichophylla J.Presl""",-83.84,9.97
"""Festuca dolichophylla J.Presl""",-69.4167,-14.8833
"""Festuca dolichophylla J.Presl""",-76.466667,-6.983333
"""Festuca dolichophylla J.Presl""",-70.0333,-15.8333
"""Festuca dolichophylla J.Presl""",-83.84,9.98
"""Festuca dolichophylla J.Presl""",-67.883056,-27.511944
"""Festuca dolichophylla J.Presl""",-75.41267,4.98942
"""Festuca dolichophylla J.Presl""",-70.01667,-14.81667
"""Festuca dolichophylla J.Presl""",-76.2,-11.58333
"""Festuca dolichophylla J.Presl""",-66.366111,-17.3
"""Festuca dolichophylla J.Presl""",-65.1167,-24.4667
"""Festuca dolichophylla J.Presl""",-76.6333,-12
"""Festuca dolichophylla J.Presl""",-75.8333,-9.5
"""Festuca dolichophylla J.Presl""",-68.119306,-16.489694
"""Festuca dolichophylla J.Presl""",-64.670931,-16.714611
"""Festuca dolichophylla J.Presl""",-65.9397,-21.3079
"""Festuca dolichophylla J.Presl""",-68.63333,-15.76666
"""Festuca dolichophylla J.Presl""",-65.88,-25.27
"""Festuca dolichophylla J.Presl""",-65.23,-22.22
"""Festuca dolichophylla J.Presl""",-65.86,-25.18
"""Festuca dolichophylla J.Presl""",-73.7078,4.53455
"""Festuca dolichophylla J.Presl""",-73.707802,4.534549
"""Festuca dolichophylla J.Presl""",-78.396144,-0.969306
"""Festuca dolichophylla J.Presl""",-66.76666,-18.9
"""Festuca dolichophylla J.Presl""",-68.15,-16.5
"""Festuca dolichophylla J.Presl""",-67.95,-16.31666
