"acceptedScientificName","LON","LAT"
"""Festuca chrysophylla Phil.""",-69.134369,-18.861842
"""Festuca chrysophylla Phil.""",-69.095455,-18.876145
"""Festuca chrysophylla Phil.""",-69.102767,-18.879684
"""Festuca chrysophylla Phil.""",-69.135931,-18.844027
"""Festuca chrysophylla Phil.""",-69.10028,-18.76814
"""Festuca chrysophylla Phil.""",-69.103337,-18.739317
"""Festuca chrysophylla Phil.""",-69.111994,-18.704335
"""Festuca chrysophylla Phil.""",-69.146618,-18.656283
"""Festuca chrysophylla Phil.""",-69.133642,-18.381299
"""Festuca chrysophylla Phil.""",-69.152054,-18.369129
"""Festuca chrysophylla Phil.""",-69.187491,-18.348128
"""Festuca chrysophylla Phil.""",-69.541766,-18.096969
"""Festuca chrysophylla Phil.""",-69.711821,-17.938313
"""Festuca chrysophylla Phil.""",-69.686634,-17.944459
"""Festuca chrysophylla Phil.""",-69.228452,-18.077438
"""Festuca chrysophylla Phil.""",-66.208611,-20.820278
"""Festuca chrysophylla Phil.""",-69.287655,-18.843312
"""Festuca chrysophylla Phil.""",-69.228672,-18.217941
"""Festuca chrysophylla Phil.""",-69.210433,-18.222246
"""Festuca chrysophylla Phil.""",-69.139371,-18.300655
"""Festuca chrysophylla Phil.""",-69.272579,-18.195793
"""Festuca chrysophylla Phil.""",-69.32736,-17.935147
"""Festuca chrysophylla Phil.""",-69.574936,-17.662018
"""Festuca chrysophylla Phil.""",-69.612242,-17.689609
"""Festuca chrysophylla Phil.""",-67.781667,-28.844444
"""Festuca chrysophylla Phil.""",-67.7325,-28.998333
"""Festuca chrysophylla Phil.""",-67.774167,-29.013333
"""Festuca chrysophylla Phil.""",-69.704863,-17.807292
"""Festuca chrysophylla Phil.""",-70.718889,-16.142222
"""Festuca chrysophylla Phil.""",-70.561389,-16.101389
"""Festuca chrysophylla Phil.""",-70.71889,-16.14222
"""Festuca chrysophylla Phil.""",-70.56139,-16.10139
"""Festuca chrysophylla Phil.""",-69.181155,-18.1002
"""Festuca chrysophylla Phil.""",-69.184998,-18.063659
"""Festuca chrysophylla Phil.""",-69.181883,-18.100923
"""Festuca chrysophylla Phil.""",-69.188086,-18.064686
"""Festuca chrysophylla Phil.""",-66.725278,-18.931667
"""Festuca chrysophylla Phil.""",-69.14574,-18.324394
"""Festuca chrysophylla Phil.""",-71.545278,-15.758333
"""Festuca chrysophylla Phil.""",-75.066111,-13.051944
"""Festuca chrysophylla Phil.""",-67.872222,-22.925278
"""Festuca chrysophylla Phil.""",-68.949333,-19.550639
"""Festuca chrysophylla Phil.""",-68.940889,-18.932555
"""Festuca chrysophylla Phil.""",-68.0375,-22.415555
"""Festuca chrysophylla Phil.""",-68.161111,-22.426666
"""Festuca chrysophylla Phil.""",-69.130166,-19.653389
"""Festuca chrysophylla Phil.""",-69.069861,-19.632027
"""Festuca chrysophylla Phil.""",-67.8925,-22.918056
"""Festuca chrysophylla Phil.""",-67.79388,-22.92972
"""Festuca chrysophylla Phil.""",-67.06638,-23.22638
"""Festuca chrysophylla Phil.""",-68.0375,-22.41555
"""Festuca chrysophylla Phil.""",-68.94916,-19.55083
"""Festuca chrysophylla Phil.""",-68.94083,-18.9325
"""Festuca chrysophylla Phil.""",-68.52972,-21.9425
"""Festuca chrysophylla Phil.""",-68.51166,-21.305
"""Festuca chrysophylla Phil.""",-68.35138,-21.75555
"""Festuca chrysophylla Phil.""",-69.501,-18.335306
"""Festuca chrysophylla Phil.""",-69.514805,-18.206805
"""Festuca chrysophylla Phil.""",-69.50375,-18.325166
"""Festuca chrysophylla Phil.""",-69.175055,-18.343444
"""Festuca chrysophylla Phil.""",-69.280861,-18.182416
"""Festuca chrysophylla Phil.""",-69.52055,-18.32527
"""Festuca chrysophylla Phil.""",-69.50111,-18.33527
"""Festuca chrysophylla Phil.""",-69.50388,-18.32527
"""Festuca chrysophylla Phil.""",-69.3,-18.0833
"""Festuca chrysophylla Phil.""",-66.919444,-22.608333
"""Festuca chrysophylla Phil.""",-68.91667,-18.16667
"""Festuca chrysophylla Phil.""",-66.9,-22.61666
"""Festuca chrysophylla Phil.""",-65.083333,-21.85
"""Festuca chrysophylla Phil.""",-67.142349,-17.959466
"""Festuca chrysophylla Phil.""",-66.886944,-17.9625
"""Festuca chrysophylla Phil.""",-67.0667,-23.0667
"""Festuca chrysophylla Phil.""",-68.962631,-18.919222
"""Festuca chrysophylla Phil.""",-69.506462,-18.331135
"""Festuca chrysophylla Phil.""",-69.343098,-18.235286
"""Festuca chrysophylla Phil.""",-69.452059,-18.201203
"""Festuca chrysophylla Phil.""",-69.459119,-18.22474
"""Festuca chrysophylla Phil.""",-69.465055,-18.230474
"""Festuca chrysophylla Phil.""",-66.13,-19.145278
"""Festuca chrysophylla Phil.""",-65.738056,-19.804167
"""Festuca chrysophylla Phil.""",-65.95,-22.4
"""Festuca chrysophylla Phil.""",-66.506667,-23.408611
"""Festuca chrysophylla Phil.""",-68.45,-21.166667
"""Festuca chrysophylla Phil.""",-71.33333,-15
"""Festuca chrysophylla Phil.""",-65.385278,-23.0725
"""Festuca chrysophylla Phil.""",-67.1,-17.95
"""Festuca chrysophylla Phil.""",-67.883056,-27.511944
"""Festuca chrysophylla Phil.""",-69,-20.11666
"""Festuca chrysophylla Phil.""",-70.3333,-17.6667
"""Festuca chrysophylla Phil.""",-65.829167,-26.891667
"""Festuca chrysophylla Phil.""",-67.708333,-28.984722
"""Festuca chrysophylla Phil.""",-65.833333,-26.908333
"""Festuca chrysophylla Phil.""",-66.121389,-22.074444
"""Festuca chrysophylla Phil.""",-65.63,-23.69
"""Festuca chrysophylla Phil.""",-65.14,-23.31
"""Festuca chrysophylla Phil.""",-69,-20.12
"""Festuca chrysophylla Phil.""",-65.82,-25.18
"""Festuca chrysophylla Phil.""",-65.8,-26.71
"""Festuca chrysophylla Phil.""",-67.88,-27.51
"""Festuca chrysophylla Phil.""",-66.92,-26.63
"""Festuca chrysophylla Phil.""",-66.51,-23.41
"""Festuca chrysophylla Phil.""",-66.05,-21.95
"""Festuca chrysophylla Phil.""",-65.11,-22.27
"""Festuca chrysophylla Phil.""",-66.94,-26.63
"""Festuca chrysophylla Phil.""",-66.5,-23.4
"""Festuca chrysophylla Phil.""",-65.74,-26.64
"""Festuca chrysophylla Phil.""",-65.23,-22.22
"""Festuca chrysophylla Phil.""",-65.87,-26.61
"""Festuca chrysophylla Phil.""",-65.74,-26.66
"""Festuca chrysophylla Phil.""",-65.83,-26.89
"""Festuca chrysophylla Phil.""",-66.35,-26.43
"""Festuca chrysophylla Phil.""",-66.28,-26.76
"""Festuca chrysophylla Phil.""",-67.94,-26.98
"""Festuca chrysophylla Phil.""",-65.83,-23.24
"""Festuca chrysophylla Phil.""",-65.71,-23.19
"""Festuca chrysophylla Phil.""",-67.73,-29
"""Festuca chrysophylla Phil.""",-66.06,-26.19
"""Festuca chrysophylla Phil.""",-66.48,-24.21
"""Festuca chrysophylla Phil.""",-66.07,-26.27
"""Festuca chrysophylla Phil.""",-66.33,-27.36
"""Festuca chrysophylla Phil.""",-66.11,-27.33
