"acceptedScientificName","LON","LAT"
"""Jarava ichu Ruiz & Pav.""",-73.837812,4.938463
"""Jarava ichu Ruiz & Pav.""",-74.452203,-12.63335
"""Jarava ichu Ruiz & Pav.""",-65.915607,-38.144661
"""Jarava ichu Ruiz & Pav.""",-66.894967,-23.591544
"""Jarava ichu Ruiz & Pav.""",-78.639837,-1.813223
"""Jarava ichu Ruiz & Pav.""",-69.307104,-17.54169
"""Jarava ichu Ruiz & Pav.""",-67.110906,-17.969403
"""Jarava ichu Ruiz & Pav.""",-75.999175,-11.157625
"""Jarava ichu Ruiz & Pav.""",-75.984283,-11.166223
"""Jarava ichu Ruiz & Pav.""",-70.809367,-15.715156
"""Jarava ichu Ruiz & Pav.""",-70.035905,-15.821284
"""Jarava ichu Ruiz & Pav.""",-71.343247,-16.384612
"""Jarava ichu Ruiz & Pav.""",-68.110158,-16.514366
"""Jarava ichu Ruiz & Pav.""",-71.400313,-16.59653
"""Jarava ichu Ruiz & Pav.""",-70.755971,-15.770784
"""Jarava ichu Ruiz & Pav.""",-71.400847,-16.596662
"""Jarava ichu Ruiz & Pav.""",-66.090676,-17.367692
"""Jarava ichu Ruiz & Pav.""",-66.104834,-17.364963
"""Jarava ichu Ruiz & Pav.""",-67.818872,-23.65365
"""Jarava ichu Ruiz & Pav.""",-78.2245,-0.5401
"""Jarava ichu Ruiz & Pav.""",-67.648772,-22.534663
"""Jarava ichu Ruiz & Pav.""",-68.014779,-16.402729
"""Jarava ichu Ruiz & Pav.""",-64.599867,-37.368794
"""Jarava ichu Ruiz & Pav.""",-64.469315,-31.09815
"""Jarava ichu Ruiz & Pav.""",-77.583645,-9.389709
"""Jarava ichu Ruiz & Pav.""",-65.027911,-31.605039
"""Jarava ichu Ruiz & Pav.""",-68.012559,-22.334154
"""Jarava ichu Ruiz & Pav.""",-78.487127,-0.074305
"""Jarava ichu Ruiz & Pav.""",-78.225742,-0.538325
"""Jarava ichu Ruiz & Pav.""",-60.475674,-35.089549
