"acceptedScientificName","LON","LAT"
"""Margyricarpus cristatus Britton""",-71.156625,-16.384497
"""Margyricarpus cristatus Britton""",-71.156714,-16.384503
"""Margyricarpus cristatus Britton""",-70.033333,-16.866667
"""Margyricarpus cristatus Britton""",-69.75988,-15.720878
"""Margyricarpus cristatus Britton""",-68.10363,-16.484982
"""Margyricarpus cristatus Britton""",-71.401319,-16.044294
"""Margyricarpus cristatus Britton""",-68.004273,-16.385892
"""Margyricarpus cristatus Britton""",-68.003814,-16.386467
"""Margyricarpus cristatus Britton""",-65.786437,-26.735103
"""Margyricarpus cristatus Britton""",-69.280555,-18.070048
"""Margyricarpus cristatus Britton""",-71.324963,-16.184888
"""Margyricarpus cristatus Britton""",-71.364243,-16.086823
"""Margyricarpus cristatus Britton""",-65.193493,-23.197386
"""Margyricarpus cristatus Britton""",-74.95163,-12.779343
"""Margyricarpus cristatus Britton""",-65.571786,-22.916779
"""Margyricarpus cristatus Britton""",-70.158921,-15.721819
"""Margyricarpus cristatus Britton""",-65.190278,-23.200162
"""Margyricarpus cristatus Britton""",-65.889997,-17.457437
"""Margyricarpus cristatus Britton""",-71.473358,-16.072758
"""Margyricarpus cristatus Britton""",-73.8566,-14.340742
"""Margyricarpus cristatus Britton""",-69.212792,-15.091917
"""Margyricarpus cristatus Britton""",-66.039266,-18.824547
"""Margyricarpus cristatus Britton""",-68.048122,-16.438315
"""Margyricarpus cristatus Britton""",-71.676117,-13.715945
"""Margyricarpus cristatus Britton""",-67.391564,-17.345403
"""Margyricarpus cristatus Britton""",-71.678513,-15.637993
"""Margyricarpus cristatus Britton""",-71.861581,-15.237131
"""Margyricarpus cristatus Britton""",-70.159967,-15.721008
"""Margyricarpus cristatus Britton""",-66.101353,-21.873205
"""Margyricarpus cristatus Britton""",-70.004254,-17.442958
"""Margyricarpus cristatus Britton""",-70.658139,-16.192361
"""Margyricarpus cristatus Britton""",-66.329706,-17.097924
"""Margyricarpus cristatus Britton""",-71.08184,-15.82909
"""Margyricarpus cristatus Britton""",-69.318925,-17.826414
