"acceptedScientificName","LON","LAT"
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-77.332419,-9.630619
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-70.337304,-16.501989
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-72.30921,-14.07697
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-71.013772,-14.4757
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-71.831781,-15.185631
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-72.062364,-13.413701
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-64.708005,-31.625
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-76.789464,-9.229517
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-65.588778,-19.5285
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-65.45323,-19.55389
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-69.095455,-18.876145
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-69.078082,-18.879696
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-67.839444,-28.740556
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-69.111994,-18.704335
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-69.146618,-18.656283
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-69.187491,-18.348128
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-69.750612,-18.178974
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-65.436111,-18.896667
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-64.1311,-18.5053
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-64.131111,-18.505278
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-69.250496,-19.055317
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-69.263179,-18.925438
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-69.248281,-18.901156
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-69.254385,-18.893764
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-69.287655,-18.843312
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-69.499404,-18.551372
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-69.32736,-17.935147
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-69.373573,-17.745334
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-69.674824,-17.880366
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-66.324444,-27.358056
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-68.891667,-15.131667
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-68.895083,-15.112167
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-70.662222,-16.172222
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-70.662778,-16.168611
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-70.66278,-16.16861
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-70.66222,-16.17222
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-68.858889,-14.906278
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-70.536667,-16.143611
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-70.531667,-16.170278
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-65.401667,-18.988333
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-64.799167,-20.123333
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-64.814722,-20.1175
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-70.54028,-16.13778
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-70.53667,-16.14361
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-70.53167,-16.17028
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-77.7442,-9.28881
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-78.3216,-7.23558
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-77.5339,-9.91964
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-69.085,-14.706667
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-64.115,-18.753333
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-68.4207,-16.8027
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-68.1563,-16.4338
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-75.0568,-12.8134
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-68.4234,-16.8043
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-74.2297,-13.2726
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-71.5916,-13.6608
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-64.8922,-18.6989
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-70.8015,-15.6838
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-75.0157,-13.3234
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-68.1605,-16.4341
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-70.8596,-14.5986
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-74.2283,-13.2861
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-68.423333,-16.804444
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-68.160556,-16.434167
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-65.735,-17.463056
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-70.859722,-14.598611
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-75.056667,-12.813333
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-71.591667,-13.660833
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-65.72,-26.8027
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-66.208,-24.4588
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-65.2547,-22.241
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-66.1845,-24.503
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-65.2579,-22.2461
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-66.1852,-24.505
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-65.7221,-26.8046
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-66.2133,-24.4647
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-65.0297,-22.2342
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-65.2538,-22.2594
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-66.2018,-24.4703
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-65.722222,-26.804444
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-66.136944,-17.319722
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-71.575833,-16.069722
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-71.604722,-15.435555
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-64.56944,-21.90583
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-70.5347,-15.2522
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-64.61,-22.00166
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-64.60194,-22.00861
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-64.74888,-17.82083
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-65.65555,-17.00138
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-77.2723,-10.1154
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-77.3015,-10.1384
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-76.3217,-10.9724
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-76.32166,-10.97222
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-71.27222,-10.11527
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-75.087583,-13.178889
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-71.497167,-16.077028
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-74.074111,-14.688472
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-74.399778,-14.6795
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-75.035278,-13.312917
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-70.784556,-15.667806
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-70.569111,-15.6845
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-70.033083,-16.116417
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-70.413944,-16.620778
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-71.384972,-15.490556
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-70.4139,-16.6208
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-71.385,-15.4906
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-71.4972,-16.077
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-75.0353,-13.3129
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-74.3998,-14.6795
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-70.7846,-15.6678
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-75.0876,-13.1789
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-70.0331,-16.1164
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-70.5691,-15.6845
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-74.0741,-14.6885
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-74.07411,-14.68847
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-74.39978,-14.6795
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-71.385,-15.490555
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-74.07388,-14.68833
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-74.39972,-14.67944
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-75.03527,-13.31277
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-70.41388,-16.62055
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-75.0875,-13.17888
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-70.03305,-16.11638
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-70.56888,-15.68388
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-70.78444,-15.66777
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-71.49694,-16.07694
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-69.07805,-15.43833
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-71.933333,-13.483333
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-72.12638,-13.26361
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-71.883333,-13.366667
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-71.26666,-14.68333
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-74.2713,-14.0285
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-65.267222,-22.228333
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-71.9074,-13.2314
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-73.2052,-14.2573
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-73.205,-14.257222
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-71.907222,-13.231111
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-65.26722,-22.22833
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-66.08333,-32.76666
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-66.694167,-17.568889
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-68.6817,-19.2985
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-68.68175,-19.2985
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-68.68166,-19.29833
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-69.5148,-18.2068
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-69.514805,-18.206805
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-69.51472,-18.20666
"""Muhlenbergia peruviana (P.Beauv.) Steud.""",-78.43,-6.98
