"acceptedScientificName","LON","LAT"
"""Parastrephia lucida (Meyen) Cabrera""",-66.022689,-28.464656
"""Parastrephia lucida (Meyen) Cabrera""",-67.180058,-26.695197
"""Parastrephia lucida (Meyen) Cabrera""",-67.407962,-26.00087
"""Parastrephia lucida (Meyen) Cabrera""",-67.215918,-25.986987
"""Parastrephia lucida (Meyen) Cabrera""",-67.503957,-25.766527
"""Parastrephia lucida (Meyen) Cabrera""",-67.491659,-25.810082
"""Parastrephia lucida (Meyen) Cabrera""",-65.607522,-22.90908
"""Parastrephia lucida (Meyen) Cabrera""",-65.193443,-23.197714
"""Parastrephia lucida (Meyen) Cabrera""",-65.215131,-22.212925
"""Parastrephia lucida (Meyen) Cabrera""",-65.628833,-23.688964
"""Parastrephia lucida (Meyen) Cabrera""",-73.185731,-14.736267
"""Parastrephia lucida (Meyen) Cabrera""",-71.149785,-16.414838
"""Parastrephia lucida (Meyen) Cabrera""",-66.939075,-26.625415
"""Parastrephia lucida (Meyen) Cabrera""",-67.485054,-25.825179
"""Parastrephia lucida (Meyen) Cabrera""",-66.940683,-25.625633
"""Parastrephia lucida (Meyen) Cabrera""",-65.219938,-22.223054
"""Parastrephia lucida (Meyen) Cabrera""",-66.939964,-24.988324
"""Parastrephia lucida (Meyen) Cabrera""",-68.770766,-20.032682
"""Parastrephia lucida (Meyen) Cabrera""",-66.699167,-17.697222
"""Parastrephia lucida (Meyen) Cabrera""",-65.871963,-25.224115
"""Parastrephia lucida (Meyen) Cabrera""",-71.100845,-16.409786
"""Parastrephia lucida (Meyen) Cabrera""",-67.230085,-25.990983
"""Parastrephia lucida (Meyen) Cabrera""",-65.993488,-22.473152
"""Parastrephia lucida (Meyen) Cabrera""",-71.582461,-15.750431
"""Parastrephia lucida (Meyen) Cabrera""",-69.233192,-18.215944
"""Parastrephia lucida (Meyen) Cabrera""",-71.202222,-16.362778
"""Parastrephia lucida (Meyen) Cabrera""",-71.861144,-15.165578
"""Parastrephia lucida (Meyen) Cabrera""",-71.843239,-15.207317
"""Parastrephia lucida (Meyen) Cabrera""",-65.494256,-22.965429
"""Parastrephia lucida (Meyen) Cabrera""",-69.560349,-18.196415
"""Parastrephia lucida (Meyen) Cabrera""",-71.194362,-16.354734
"""Parastrephia lucida (Meyen) Cabrera""",-69.166612,-18.522467
"""Parastrephia lucida (Meyen) Cabrera""",-73.181885,-14.472466
"""Parastrephia lucida (Meyen) Cabrera""",-71.596524,-15.688228
"""Parastrephia lucida (Meyen) Cabrera""",-69.251602,-19.056175
"""Parastrephia lucida (Meyen) Cabrera""",-69.251892,-19.056203
"""Parastrephia lucida (Meyen) Cabrera""",-68.12536,-21.91341
"""Parastrephia lucida (Meyen) Cabrera""",-65.9925,-28.179167
"""Parastrephia lucida (Meyen) Cabrera""",-67.004722,-24.345278
"""Parastrephia lucida (Meyen) Cabrera""",-67.262778,-24.631111
"""Parastrephia lucida (Meyen) Cabrera""",-65.952986,-25.231456
"""Parastrephia lucida (Meyen) Cabrera""",-67.407152,-26.11818
"""Parastrephia lucida (Meyen) Cabrera""",-66.910893,-26.460778
"""Parastrephia lucida (Meyen) Cabrera""",-69.134369,-18.861842
"""Parastrephia lucida (Meyen) Cabrera""",-69.10028,-18.76814
"""Parastrephia lucida (Meyen) Cabrera""",-69.146618,-18.656283
"""Parastrephia lucida (Meyen) Cabrera""",-69.124932,-18.393389
"""Parastrephia lucida (Meyen) Cabrera""",-69.133642,-18.381299
"""Parastrephia lucida (Meyen) Cabrera""",-69.152054,-18.369129
"""Parastrephia lucida (Meyen) Cabrera""",-69.187491,-18.348128
"""Parastrephia lucida (Meyen) Cabrera""",-66.508333,-24.000833
"""Parastrephia lucida (Meyen) Cabrera""",-69.168755,-18.853128
