"acceptedScientificName","LON","LAT"
"""Parastrephia quadrangularis (Meyen) Cabrera""",-67.313276,-25.853381
"""Parastrephia quadrangularis (Meyen) Cabrera""",-67.253761,-25.750586
"""Parastrephia quadrangularis (Meyen) Cabrera""",-65.725822,-22.745473
"""Parastrephia quadrangularis (Meyen) Cabrera""",-68.225289,-27.624038
"""Parastrephia quadrangularis (Meyen) Cabrera""",-67.927476,-22.913318
"""Parastrephia quadrangularis (Meyen) Cabrera""",-73.151108,-14.680772
"""Parastrephia quadrangularis (Meyen) Cabrera""",-71.288,-16.364
"""Parastrephia quadrangularis (Meyen) Cabrera""",-71.449724,-15.847966
"""Parastrephia quadrangularis (Meyen) Cabrera""",-65.462644,-23.000284
"""Parastrephia quadrangularis (Meyen) Cabrera""",-71.556542,-15.775275
"""Parastrephia quadrangularis (Meyen) Cabrera""",-71.568,-15.750978
"""Parastrephia quadrangularis (Meyen) Cabrera""",-71.5569,-16.071603
"""Parastrephia quadrangularis (Meyen) Cabrera""",-67.257216,-25.974984
"""Parastrephia quadrangularis (Meyen) Cabrera""",-67.520571,-25.653527
"""Parastrephia quadrangularis (Meyen) Cabrera""",-66.095837,-24.367427
"""Parastrephia quadrangularis (Meyen) Cabrera""",-65.992499,-22.419966
"""Parastrephia quadrangularis (Meyen) Cabrera""",-68.063919,-22.59697
"""Parastrephia quadrangularis (Meyen) Cabrera""",-65.195107,-23.109669
"""Parastrephia quadrangularis (Meyen) Cabrera""",-65.195284,-23.109233
"""Parastrephia quadrangularis (Meyen) Cabrera""",-67.393804,-24.591675
"""Parastrephia quadrangularis (Meyen) Cabrera""",-68.079217,-27.785857
"""Parastrephia quadrangularis (Meyen) Cabrera""",-68.671875,-16.556395
"""Parastrephia quadrangularis (Meyen) Cabrera""",-65.243273,-21.824972
"""Parastrephia quadrangularis (Meyen) Cabrera""",-68.832806,-20.037737
"""Parastrephia quadrangularis (Meyen) Cabrera""",-71.363087,-16.087285
"""Parastrephia quadrangularis (Meyen) Cabrera""",-65.993367,-22.4735
"""Parastrephia quadrangularis (Meyen) Cabrera""",-71.290213,-15.399868
"""Parastrephia quadrangularis (Meyen) Cabrera""",-71.59002,-15.69734
"""Parastrephia quadrangularis (Meyen) Cabrera""",-71.189344,-16.472868
"""Parastrephia quadrangularis (Meyen) Cabrera""",-71.849342,-15.190961
"""Parastrephia quadrangularis (Meyen) Cabrera""",-68.275768,-21.725938
"""Parastrephia quadrangularis (Meyen) Cabrera""",-65.204879,-23.143312
"""Parastrephia quadrangularis (Meyen) Cabrera""",-69.560349,-18.196415
"""Parastrephia quadrangularis (Meyen) Cabrera""",-70.004245,-17.442915
"""Parastrephia quadrangularis (Meyen) Cabrera""",-71.32153,-16.45288
"""Parastrephia quadrangularis (Meyen) Cabrera""",-68.044492,-16.39547
"""Parastrephia quadrangularis (Meyen) Cabrera""",-67.354944,-23.229888
"""Parastrephia quadrangularis (Meyen) Cabrera""",-73.584479,-14.586771
"""Parastrephia quadrangularis (Meyen) Cabrera""",-66.81599,-20.445582
"""Parastrephia quadrangularis (Meyen) Cabrera""",-70.809383,-15.715479
"""Parastrephia quadrangularis (Meyen) Cabrera""",-71.891534,-15.610226
"""Parastrephia quadrangularis (Meyen) Cabrera""",-69.058617,-19.639254
"""Parastrephia quadrangularis (Meyen) Cabrera""",-68.280176,-21.299454
"""Parastrephia quadrangularis (Meyen) Cabrera""",-71.473473,-16.245857
"""Parastrephia quadrangularis (Meyen) Cabrera""",-71.318342,-16.392805
"""Parastrephia quadrangularis (Meyen) Cabrera""",-71.337025,-16.385828
"""Parastrephia quadrangularis (Meyen) Cabrera""",-71.254687,-16.58552
"""Parastrephia quadrangularis (Meyen) Cabrera""",-68.066373,-22.740958
"""Parastrephia quadrangularis (Meyen) Cabrera""",-68.615347,-24.687578
"""Parastrephia quadrangularis (Meyen) Cabrera""",-68.628578,-20.9136
"""Parastrephia quadrangularis (Meyen) Cabrera""",-68.770221,-20.947669
"""Parastrephia quadrangularis (Meyen) Cabrera""",-75.13375,-13.499432
"""Parastrephia quadrangularis (Meyen) Cabrera""",-71.49274,-16.076997
"""Parastrephia quadrangularis (Meyen) Cabrera""",-71.904252,-15.612395
"""Parastrephia quadrangularis (Meyen) Cabrera""",-68.062003,-21.623042
"""Parastrephia quadrangularis (Meyen) Cabrera""",-69.143523,-18.853583
"""Parastrephia quadrangularis (Meyen) Cabrera""",-69.134369,-18.861842
"""Parastrephia quadrangularis (Meyen) Cabrera""",-69.10028,-18.76814
"""Parastrephia quadrangularis (Meyen) Cabrera""",-69.103337,-18.739317
"""Parastrephia quadrangularis (Meyen) Cabrera""",-69.187491,-18.348128
"""Parastrephia quadrangularis (Meyen) Cabrera""",-69.711592,-18.142203
"""Parastrephia quadrangularis (Meyen) Cabrera""",-69.677178,-18.054758
"""Parastrephia quadrangularis (Meyen) Cabrera""",-66.508333,-24.000833
"""Parastrephia quadrangularis (Meyen) Cabrera""",-69.227007,-18.0769
"""Parastrephia quadrangularis (Meyen) Cabrera""",-69.541766,-18.096969
"""Parastrephia quadrangularis (Meyen) Cabrera""",-69.711821,-17.938313
"""Parastrephia quadrangularis (Meyen) Cabrera""",-69.686634,-17.944459
"""Parastrephia quadrangularis (Meyen) Cabrera""",-69.228452,-18.077438
"""Parastrephia quadrangularis (Meyen) Cabrera""",-69.168755,-18.853128
"""Parastrephia quadrangularis (Meyen) Cabrera""",-68.043932,-22.531678
"""Parastrephia quadrangularis (Meyen) Cabrera""",-73.271,-14.5134
"""Parastrephia quadrangularis (Meyen) Cabrera""",-67.377686,-24.603546
"""Parastrephia quadrangularis (Meyen) Cabrera""",-69.5394,-18.3478
"""Parastrephia quadrangularis (Meyen) Cabrera""",-69.597778,-18.191667
"""Parastrephia quadrangularis (Meyen) Cabrera""",-69.210433,-18.222246
"""Parastrephia quadrangularis (Meyen) Cabrera""",-69.574936,-17.662018
"""Parastrephia quadrangularis (Meyen) Cabrera""",-69.612242,-17.689609
"""Parastrephia quadrangularis (Meyen) Cabrera""",-69.674824,-17.880366
"""Parastrephia quadrangularis (Meyen) Cabrera""",-66.68507,-20.254072
"""Parastrephia quadrangularis (Meyen) Cabrera""",-71.85213,-15.66089
"""Parastrephia quadrangularis (Meyen) Cabrera""",-71.327367,-16.47967
"""Parastrephia quadrangularis (Meyen) Cabrera""",-65.683333,-23.7
"""Parastrephia quadrangularis (Meyen) Cabrera""",-65.666667,-24.9
"""Parastrephia quadrangularis (Meyen) Cabrera""",-67.899389,-22.917028
"""Parastrephia quadrangularis (Meyen) Cabrera""",-67.899444,-22.916944
"""Parastrephia quadrangularis (Meyen) Cabrera""",-68.596389,-24.588611
"""Parastrephia quadrangularis (Meyen) Cabrera""",-67.4,-23.15
"""Parastrephia quadrangularis (Meyen) Cabrera""",-71.6225,-16.093055
"""Parastrephia quadrangularis (Meyen) Cabrera""",-71.575833,-16.069722
"""Parastrephia quadrangularis (Meyen) Cabrera""",-67.654792,-22.027231
"""Parastrephia quadrangularis (Meyen) Cabrera""",-66.4644,-24.2731
"""Parastrephia quadrangularis (Meyen) Cabrera""",-67.793818,-23.738772
"""Parastrephia quadrangularis (Meyen) Cabrera""",-74.083333,-15.583333
"""Parastrephia quadrangularis (Meyen) Cabrera""",-65.655,-23.695833
"""Parastrephia quadrangularis (Meyen) Cabrera""",-66.4842,-24.1028
"""Parastrephia quadrangularis (Meyen) Cabrera""",-65.7161,-22.7664
