"acceptedScientificName","LON","LAT"
"""Senecio nutans Sch.Bip.""",-68.742875,-28.554205
"""Senecio nutans Sch.Bip.""",-65.056055,-23.19642
"""Senecio nutans Sch.Bip.""",-73.919868,-15.007198
"""Senecio nutans Sch.Bip.""",-73.91984,-15.007143
"""Senecio nutans Sch.Bip.""",-65.184928,-23.170553
"""Senecio nutans Sch.Bip.""",-71.335,-16.389
"""Senecio nutans Sch.Bip.""",-65.280137,-22.399238
"""Senecio nutans Sch.Bip.""",-66.439237,-24.133756
"""Senecio nutans Sch.Bip.""",-65.190137,-23.200795
"""Senecio nutans Sch.Bip.""",-66.712021,-20.386217
"""Senecio nutans Sch.Bip.""",-65.194107,-23.185785
"""Senecio nutans Sch.Bip.""",-66.457147,-24.27057
"""Senecio nutans Sch.Bip.""",-65.193859,-23.196786
"""Senecio nutans Sch.Bip.""",-65.032381,-23.259561
"""Senecio nutans Sch.Bip.""",-66.506496,-24.073736
"""Senecio nutans Sch.Bip.""",-68.02694,-21.359082
"""Senecio nutans Sch.Bip.""",-71.179542,-15.87995
"""Senecio nutans Sch.Bip.""",-70.894516,-16.444447
"""Senecio nutans Sch.Bip.""",-76.206083,-11.673167
"""Senecio nutans Sch.Bip.""",-72.448107,-14.593651
"""Senecio nutans Sch.Bip.""",-71.508987,-16.076977
"""Senecio nutans Sch.Bip.""",-71.195686,-15.937719
"""Senecio nutans Sch.Bip.""",-66.371723,-19.754691
"""Senecio nutans Sch.Bip.""",-71.485556,-16.233889
"""Senecio nutans Sch.Bip.""",-69.542472,-18.189714
"""Senecio nutans Sch.Bip.""",-71.849639,-15.190992
"""Senecio nutans Sch.Bip.""",-71.845925,-15.194431
"""Senecio nutans Sch.Bip.""",-65.07214,-23.159453
"""Senecio nutans Sch.Bip.""",-75.066681,-13.117103
"""Senecio nutans Sch.Bip.""",-71.18857,-16.351557
"""Senecio nutans Sch.Bip.""",-67.626602,-20.242577
"""Senecio nutans Sch.Bip.""",-68.691271,-21.061838
"""Senecio nutans Sch.Bip.""",-68.941238,-19.385392
"""Senecio nutans Sch.Bip.""",-71.473355,-16.245895
"""Senecio nutans Sch.Bip.""",-71.31815,-16.392702
"""Senecio nutans Sch.Bip.""",-75.091736,-13.198808
"""Senecio nutans Sch.Bip.""",-70.626055,-16.901491
"""Senecio nutans Sch.Bip.""",-70.72111,-16.19778
"""Senecio nutans Sch.Bip.""",-68.649431,-20.988764
"""Senecio nutans Sch.Bip.""",-75.176935,-13.53517
"""Senecio nutans Sch.Bip.""",-68.633333,-19.266667
"""Senecio nutans Sch.Bip.""",-77.212112,-10.083072
